ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-04-12,155520.36874349654,62576.80794835106,197531.82768979666,155520.36874349654,155520.36874349654,-27961.980738447783,-27961.980738447783,-27961.980738447783,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-26636.485294958267,-26636.485294958267,-26636.485294958267,0.0,0.0,0.0,127558.38800504876
2021-04-19,155426.4337583311,50190.70703606216,186844.95918628317,155426.4337583311,155426.4337583311,-36028.397586360355,-36028.397586360355,-36028.397586360355,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-34702.90214287084,-34702.90214287084,-34702.90214287084,0.0,0.0,0.0,119398.03617197076
2021-04-26,155321.46946833655,39905.41959155661,172610.53729303932,155321.46946833655,155321.46946833655,-47428.68926415016,-47428.68926415016,-47428.68926415016,-1325.4954434895162,-1325.4954434895162,-1325.4954434895162,-46103.19382066065,-46103.19382066065,-46103.19382066065,0.0,0.0,0.0,107892.78020418639
2021-05-03,155216.50517834202,25264.061338765747,164378.4283704983,155216.50517834202,155216.50517834202,-62111.14434307207,-62111.14434307207,-62111.14434307207,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-60785.64889958256,-60785.64889958256,-60785.64889958256,0.0,0.0,0.0,93105.36083526995
2021-05-10,155111.5408883475,14016.300971607627,150207.10942119706,155111.5408883475,155111.5408883475,-73442.1867314926,-73442.1867314926,-73442.1867314926,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-72116.69128800309,-72116.69128800309,-72116.69128800309,0.0,0.0,0.0,81669.35415685488
2021-05-17,155006.57659835296,12116.853040246464,154600.3190992261,155006.57659835296,155006.57659835296,-73489.87314950913,-73489.87314950913,-73489.87314950913,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-72164.37770601962,-72164.37770601962,-72164.37770601962,0.0,0.0,0.0,81516.70344884382
2021-10-04,152907.2907984622,81064.09047366974,216840.80000999974,152907.2907984622,152907.2907984622,-3233.0093884664493,-3233.0093884664493,-3233.0093884664493,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,-1907.5139449769326,-1907.5139449769326,-1907.5139449769326,0.0,0.0,0.0,149674.28140999575
2021-10-11,152802.32650846767,86225.43858086111,224009.2442255147,152802.32650846767,152802.32650846767,4641.136621120832,4641.136621120832,4641.136621120832,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,5966.632064610348,5966.632064610348,5966.632064610348,0.0,0.0,0.0,157443.4631295885
2021-10-18,152667.0522773133,94443.90540442539,235224.16879419851,152667.0522773133,152667.0522773133,11665.012125562309,11665.012125562309,11665.012125562309,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,12990.507569051824,12990.507569051824,12990.507569051824,0.0,0.0,0.0,164332.0644028756
2021-10-25,152531.77804615896,97493.08669966762,236648.35468549482,152531.77804615896,152531.77804615896,13953.517956578979,13953.517956578979,13953.517956578979,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,15279.013400068494,15279.013400068494,15279.013400068494,0.0,0.0,0.0,166485.29600273794
